State,Year,Month,Day,Rainfall (mm)
Johor,2014,1,1,2.58
Johor,2014,1,2,0.64
Johor,2014,1,3,0.55
Johor,2014,1,4,1.26
Johor,2014,1,5,2.25
Johor,2014,1,6,3.81
Johor,2014,1,7,0.97
Johor,2014,1,8,1.72
Johor,2014,1,9,0.38
Johor,2014,1,10,2.50
Johor,2014,1,11,2.72
Johor,2014,1,12,1.10
Johor,2014,1,13,0.16
Johor,2014,1,14,0.04
Johor,2014,1,15,0.04
Johor,2014,1,16,0.26
Johor,2014,1,17,4.29
Johor,2014,1,18,12.69
Johor,2014,1,19,1.11
Johor,2014,1,20,0.10
Johor,2014,1,21,0.06
Johor,2014,1,22,0.14
Johor,2014,1,23,0.69
Johor,2014,1,24,0.49
Johor,2014,1,25,9.03
Johor,2014,1,26,16.36
Johor,2014,1,27,9.05
Johor,2014,1,28,1.92
Johor,2014,1,29,0.44
Johor,2014,1,30,0.22
Johor,2014,1,31,0.18
Johor,2014,2,1,1.53
Johor,2014,2,2,1.18
Johor,2014,2,3,0.74
Johor,2014,2,4,2.00
Johor,2014,2,5,0.75
Johor,2014,2,6,1.43
Johor,2014,2,7,7.40
Johor,2014,2,8,4.31
Johor,2014,2,9,1.83
Johor,2014,2,10,4.13
Johor,2014,2,11,26.40
Johor,2014,2,12,13.82
Johor,2014,2,13,6.06
Johor,2014,2,14,6.88
Johor,2014,2,15,42.91
Johor,2014,2,16,13.02
Johor,2014,2,17,21.09
Johor,2014,2,18,4.20
Johor,2014,2,19,5.94
Johor,2014,2,20,4.09
Johor,2014,2,21,1.75
Johor,2014,2,22,8.90
Johor,2014,2,23,0.14
Johor,2014,2,24,1.85
Johor,2014,2,25,6.36
Johor,2014,2,26,1.93
Johor,2014,2,27,2.34
Johor,2014,2,28,1.11
Johor,2014,3,1,13.99
Johor,2014,3,2,12.62
Johor,2014,3,3,9.52
Johor,2014,3,4,4.06
Johor,2014,3,5,1.77
Johor,2014,3,6,1.94
Johor,2014,3,7,7.03
Johor,2014,3,8,0.58
Johor,2014,3,9,0.10
Johor,2014,3,10,0.88
Johor,2014,3,11,4.17
Johor,2014,3,12,11.39
Johor,2014,3,13,2.75
Johor,2014,3,14,6.24
Johor,2014,3,15,7.00
Johor,2014,3,16,10.37
Johor,2014,3,17,14.28
Johor,2014,3,18,2.12
Johor,2014,3,19,1.69
Johor,2014,3,20,1.04
Johor,2014,3,21,0.30
Johor,2014,3,22,1.45
Johor,2014,3,23,2.45
Johor,2014,3,24,1.19
Johor,2014,3,25,0.38
Johor,2014,3,26,4.87
Johor,2014,3,27,5.67
Johor,2014,3,28,14.69
Johor,2014,3,29,0.96
Johor,2014,3,30,11.08
Johor,2014,3,31,28.69
Johor,2014,4,1,16.30
Johor,2014,4,2,0.07
Johor,2014,4,3,3.36
Johor,2014,4,4,11.83
Johor,2014,4,5,11.09
Johor,2014,4,6,18.37
Johor,2014,4,7,4.92
Johor,2014,4,8,1.63
Johor,2014,4,9,0.93
Johor,2014,4,10,2.53
Johor,2014,4,11,0.88
Johor,2014,4,12,3.33
Johor,2014,4,13,7.68
Johor,2014,4,14,23.75
Johor,2014,4,15,2.90
Johor,2014,4,16,11.05
Johor,2014,4,17,12.95
Johor,2014,4,18,17.13
Johor,2014,4,19,2.92
Johor,2014,4,20,0.87
Johor,2014,4,21,0.85
Johor,2014,4,22,2.59
Johor,2014,4,23,4.20
Johor,2014,4,24,9.67
Johor,2014,4,25,0.02
Johor,2014,4,26,0.36
Johor,2014,4,27,4.07
Johor,2014,4,28,5.78
Johor,2014,4,29,2.52
Johor,2014,4,30,2.78
Johor,2014,5,1,2.21
Johor,2014,5,2,5.72
Johor,2014,5,3,12.44
Johor,2014,5,4,22.66
Johor,2014,5,5,2.60
Johor,2014,5,6,1.50
Johor,2014,5,7,2.30
Johor,2014,5,8,9.57
Johor,2014,5,9,6.80
Johor,2014,5,10,10.14
Johor,2014,5,11,0.65
Johor,2014,5,12,0.35
Johor,2014,5,13,0.00
Johor,2014,5,14,0.00
Johor,2014,5,15,0.15
Johor,2014,5,16,0.23
Johor,2014,5,17,1.12
Johor,2014,5,18,0.27
Johor,2014,5,19,8.47
Johor,2014,5,20,14.54
Johor,2014,5,21,9.30
Johor,2014,5,22,4.19
Johor,2014,5,23,0.54
Johor,2014,5,24,0.14
Johor,2014,5,25,0.10
Johor,2014,5,26,0.14
Johor,2014,5,27,0.02
Johor,2014,5,28,0.01
Johor,2014,5,29,0.22
Johor,2014,5,30,1.65
Johor,2014,5,31,15.03
Johor,2014,6,1,8.03
Johor,2014,6,2,8.56
Johor,2014,6,3,2.04
Johor,2014,6,4,0.25
Johor,2014,6,5,0.08
Johor,2014,6,6,3.37
Johor,2014,6,7,6.97
Johor,2014,6,8,3.70
Johor,2014,6,9,1.88
Johor,2014,6,10,1.79
Johor,2014,6,11,5.85
Johor,2014,6,12,2.69
Johor,2014,6,13,1.89
Johor,2014,6,14,2.76
Johor,2014,6,15,8.86
Johor,2014,6,16,7.94
Johor,2014,6,17,15.15
Johor,2014,6,18,1.79
Johor,2014,6,19,3.11
Johor,2014,6,20,20.69
Johor,2014,6,21,6.93
Johor,2014,6,22,0.50
Johor,2014,6,23,0.03
Johor,2014,6,24,0.14
Johor,2014,6,25,6.04
Johor,2014,6,26,0.68
Johor,2014,6,27,0.01
Johor,2014,6,28,0.01
Johor,2014,6,29,2.92
Johor,2014,6,30,0.29
Johor,2014,7,1,0.07
Johor,2014,7,2,0.18
Johor,2014,7,3,0.20
Johor,2014,7,4,0.31
Johor,2014,7,5,0.67
Johor,2014,7,6,0.53
Johor,2014,7,7,1.19
Johor,2014,7,8,3.92
Johor,2014,7,9,1.41
Johor,2014,7,10,1.46
Johor,2014,7,11,1.64
Johor,2014,7,12,11.52
Johor,2014,7,13,11.73
Johor,2014,7,14,14.28
Johor,2014,7,15,0.13
Johor,2014,7,16,0.24
Johor,2014,7,17,9.48
Johor,2014,7,18,10.15
Johor,2014,7,19,3.65
Johor,2014,7,20,1.73
Johor,2014,7,21,6.51
Johor,2014,7,22,17.39
Johor,2014,7,23,44.12
Johor,2014,7,24,5.86
Johor,2014,7,25,0.10
Johor,2014,7,26,4.58
Johor,2014,7,27,2.24
Johor,2014,7,28,1.14
Johor,2014,7,29,0.69
Johor,2014,7,30,4.21
Johor,2014,7,31,4.90
Johor,2014,8,1,1.48
Johor,2014,8,2,11.19
Johor,2014,8,3,5.72
Johor,2014,8,4,2.59
Johor,2014,8,5,1.45
Johor,2014,8,6,0.44
Johor,2014,8,7,0.39
Johor,2014,8,8,1.52
Johor,2014,8,9,1.16
Johor,2014,8,10,2.84
Johor,2014,8,11,2.62
Johor,2014,8,12,0.54
Johor,2014,8,13,0.14
Johor,2014,8,14,0.01
Johor,2014,8,15,0.24
Johor,2014,8,16,0.51
Johor,2014,8,17,0.20
Johor,2014,8,18,5.47
Johor,2014,8,19,0.47
Johor,2014,8,20,0.28
Johor,2014,8,21,0.39
Johor,2014,8,22,4.95
Johor,2014,8,23,8.17
Johor,2014,8,24,1.44
Johor,2014,8,25,0.28
Johor,2014,8,26,0.21
Johor,2014,8,27,6.93
Johor,2014,8,28,14.82
Johor,2014,8,29,4.64
Johor,2014,8,30,4.43
Johor,2014,8,31,1.09
Johor,2014,9,1,0.41
Johor,2014,9,2,0.09
Johor,2014,9,3,0.60
Johor,2014,9,4,7.22
Johor,2014,9,5,11.92
Johor,2014,9,6,2.77
Johor,2014,9,7,1.95
Johor,2014,9,8,13.65
Johor,2014,9,9,15.08
Johor,2014,9,10,4.76
Johor,2014,9,11,0.44
Johor,2014,9,12,1.04
Johor,2014,9,13,6.75
Johor,2014,9,14,11.31
Johor,2014,9,15,3.12
Johor,2014,9,16,12.90
Johor,2014,9,17,6.85
Johor,2014,9,18,3.25
Johor,2014,9,19,2.97
Johor,2014,9,20,1.26
Johor,2014,9,21,2.96
Johor,2014,9,22,1.01
Johor,2014,9,23,3.34
Johor,2014,9,24,2.95
Johor,2014,9,25,0.25
Johor,2014,9,26,2.55
Johor,2014,9,27,5.10
Johor,2014,9,28,1.16
Johor,2014,9,29,9.54
Johor,2014,9,30,9.21
Johor,2014,10,1,1.84
Johor,2014,10,2,0.26
Johor,2014,10,3,0.43
Johor,2014,10,4,10.21
Johor,2014,10,5,9.85
Johor,2014,10,6,7.13
Johor,2014,10,7,9.14
